Identifiant de la station;Nom de la station;Capacité de la station;Lattitude;Longitude;Coordonnées géographiques
210566542;Square Boucicaut;60;48.851296433665276;2.325061820447445;48.8512964337,2.32506182045
123095125;Alibert - Jemmapes;60;48.8710440519842;2.366104461987773;48.871044052,2.36610446199
244498842;Bois de Vincennes - Gare;50;48.836022242886884;2.4708339950830287;48.8360222429,2.47083399508
210740080;Gare du Nord - Hôpital Lariboisière;49;48.881949;2.352339;48.881949,2.352339
102290754;Mairie du 17ème;24;48.88416184871573;2.322079431103719;48.8841618487,2.3220794311
586539770;Marne - Germain Dardan;22;48.81154270401601;2.303070724010468;48.811542704,2.30307072401
42517412;Gambetta - Saint Fargeau;24;48.871244610447015;2.4039056897163396;48.8712446104,2.40390568972
102314792;Etienne Jodelle - Saint Ouen;33;48.88794016394694;2.326124420314341;48.8879401639,2.32612442031
213685090;Cevennes - Bergers;29;48.84240765130395;2.281037718057633;48.8424076513,2.28103771806
213676294;Chevaleret - Tolbiac;21;48.82941;2.375934;48.82941,2.375934
632007124;Lucie Aubrac - Franklin;36;48.86223916006812;2.4435862898826604;48.8622391601,2.44358628988
101024234;Quai Panhard et Levassor;57;48.82837482809675;2.384273745805574;48.8283748281,2.38427374581
35908;Cujas - Saint-Michel;19;48.84819134858432;2.34183165485398;48.8481913486,2.34183165485
213691542;Porte Maillot - Pereire;52;48.877775;2.284444;48.877775,2.284444
214139374;Gare RER de Gentilly;30;48.814280450380224;2.3410347104072575;48.8142804504,2.34103471041
653042442;Place aux Étoiles;40;48.91835629408464;2.3523425683379173;48.9183562941,2.35234256834
129095489;Batignolles - Abel Truchet;28;48.88310390458221;2.323834749088381;48.8831039046,2.32383474909
252339799;Edouard Vaillant - Paul-Adolphe Souriau;28;48.83484585882868;2.2479459643363957;48.8348458588,2.24794596434
129061615;Primo Levi - Frigos;34;48.83094844846017;2.37965351592796;48.8309484485,2.37965351593
1988517250;Stalingrad - Henri Luisette;26;48.78363092456589;2.366935946761926;48.7836309246,2.36693594676
121025345;Chabrol - d'Hauteville;11;48.87701838803332;2.3513179644942284;48.877018388,2.35131796449
101746493;Théâtre - Lourmel;53;48.8482070397636;2.2898658737540245;48.8482070398,2.28986587375
102313219;Belliard - Damrémont;34;48.89669238777841;2.338023450388167;48.8966923878,2.33802345039
100863462;Musée d'Orsay;65;48.85972615790874;2.325860448181629;48.8597261579,2.32586044818
54000549;Villersexel - Saint-Germain;16;48.858297001217615;2.323793470859528;48.8582970012,2.32379347086
41523981;Mairie du 15ème;32;48.8417762;2.2986539;48.8417762,2.2986539
1055541632;Place Tony de Graaff;42;48.8181645;2.2458109;48.8181645,2.2458109
266052390;Melun - Jean Jaurès;28;48.8837796723475;2.376477420330048;48.8837796723,2.37647742033
1599931563;République - Auguste Perret;30;48.78695280952244;2.3518594354391094;48.7869528095,2.35185943544
7261;Athènes - Clichy;20;48.878113787876;2.32956021945824;48.8781137879,2.32956021946
285726279;Quai de Valmy;26;48.88126951579429;2.368186041712761;48.8812695158,2.36818604171
284787594;Place d'Italie - Vincent Auriol;40;48.83148187446674;2.356755029231863;48.8314818745,2.35675502923
38280;Saint-Didier - Raymond Poincaré;17;48.86642312020962;2.285863497192411;48.8664231202,2.28586349719
457834134;André Maurois - Joseph et Marie Hackin;29;48.8778983;2.2789591;48.8778983,2.2789591
478385490;Charles Gide - Fort de Bicêtre;30;48.8071937956922;2.353984415531159;48.8071937957,2.35398441553
54000562;Square Alban Satragne;30;48.87534054839558;2.35588476061821;48.8753405484,2.35588476062
443402852;Place de Lévis;48;48.883546851533254;2.3131933808326726;48.8835468515,2.31319338083
82565383;Jacques Kellner - Saint-Ouen;47;48.895809485802886;2.327897409164145;48.8958094858,2.32789740916
129016495;Taitbout - La Fayette;53;48.87332988919973;2.3352625966072087;48.8733298892,2.33526259661
488800137;Portugais - Kléber;26;48.8712148;2.2937349;48.8712148,2.2937349
1057091571;Esplanade du Foncet - Camille Desmoulins;28;48.827090233494964;2.2606857866048813;48.8270902335,2.2606857866
1062704564;Bourg l'Abbé - Saint-Martin;42;48.86393331949257;2.352406270802021;48.8639333195,2.3524062708
81212212;Jean Jaurès - Jules Jacquemin;24;48.88433053604843;2.4082902455152104;48.884330536,2.40829024552
128841079;Cambon - Rivoli;40;48.866143390992;2.3251800647136633;48.866143391,2.32518006471
443153677;Perle - Vieille du Temple;36;48.8601346;2.3611206;48.8601346,2.3611206
1062245074;Roger Salengro - Général de Gaulle;27;48.820029010376956;2.4846760556101803;48.8200290104,2.48467605561
39169029;Sorbier - Ménilmontant;24;48.86854239566069;2.3897721245884895;48.8685423957,2.38977212459
54000465;Etienne Marcel - Montorgueil;28;48.86450567259199;2.3461959511041637;48.8645056726,2.3461959511
42341698;Cléry - Montmartre;44;48.867458;2.3445211;48.867458,2.3445211
1063000561;Gardenat-Lapostol - Velettes;20;48.87387;2.224185;48.87387,2.224185
48800374;Place de l'Hôtel de Ville;14;48.8573314;2.351458;48.8573314,2.351458
15290700;Aboukir - Alexandrie;21;48.86868344444473;2.3502043269474897;48.8686834444,2.35020432695
27414358;Saint-Honoré - 29 juillet;20;48.86557114282421;2.330567417577153;48.8655711428,2.33056741758
39887632;Choisy - Malmaisons;25;48.821919702956144;2.3633468834070914;48.821919703,2.36334688341
653031913;Réaumur - Montmartre;19;48.86823099975891;2.343826033887573;48.8682309998,2.34382603389
210328645;Place André Malraux;19;48.86392515872666;2.3356226831674576;48.8639251587,2.33562268317
1074390359;Youri Gagarine - Commune de Paris;33;48.78242746304141;2.3939734697341923;48.782427463,2.39397346973
13356269;Assas - Rennes;32;48.8492084999386;2.32851454623001;48.8492084999,2.32851454623
39311270;Pasteur - Cotentin;33;48.8389284;2.316356;48.8389284,2.316356
82588494;Verdier - République;29;48.81540376627718;2.3173937201499943;48.8154037663,2.31739372015
