station_id;station_number;name;capacity;coordinates
1;85043758;Guersant - Gouvion-Saint-Cyr;39;POINT(48.8828777518 2.28766737081)
2;94555589;Pierre et Marie Curie - Maurice Thorez;27;POINT(48.8158022636 2.37680498511)
3;507934805;Ney - Porte de Clignancourt;25;POINT(48.8978867 2.3458001)
4;128989986;Place Georges Guillaumin;29;POINT(48.874750204 2.30177143533)
5;102311820;Clignancourt - Ordener;35;POINT(48.8914577262 2.34863647806)
6;369644630;Gare de l'Est - Faubourg-Saint-Martin;32;POINT(48.8756426475 2.35945880413)
7;43255030;Pereire - Ternes;48;POINT(48.8797395483 2.28801213205)
8;128936618;Matignon - Faubourg Saint-Honoré;36;POINT(48.8714785912 2.31397792697)
9;521393180;Porte Pouchet-Bessières;23;POINT(48.8978765 2.3230632)
10;82562556;Exelmans - Versailles;24;POINT(48.8409749109 2.26439025253)
11;583539396;Anatole France - President Roosevelt;29;POINT(48.9155156 2.3814103)
12;102323152;Manin - Carrières d'Amérique;20;POINT(48.8846721421 2.3919698596)
13;1810975577;Guy Môquet - Parvis Georges Marchais;0;POINT(48.7951646 2.3594998)
14;544249939;Raspail - Chomel;49;POINT(48.8522331643 2.32665807009)
15;588452142;Hoche - Jean Lolive;24;POINT(48.891102392 2.40284353495)
16;129093478;Place de la Porte de Champerret;28;POINT(48.8856174163 2.29078141128)
17;213687140;Molitor - Chardon-Lagache;34;POINT(48.8452088018 2.2656840831)
18;214019379;Quai de l'Aisne - Général Leclerc;27;POINT(48.895713 2.400571)
19;82457375;Volontaire - Lecourbe;30;POINT(48.843513788 2.30655223131)
20;27414841;Square d'Anvers;32;POINT(48.8826334843 2.34488440621)
21;213699913;Place de l'Édit de Nantes;30;POINT(48.88879 2.3785)
22;933214552;Guynemer - Séverine;26;POINT(48.8309174337 2.27907065302)
23;27071684;Porte de Vincennes;33;POINT(48.846454 2.415514)
24;501318622;Montreuil - Gonnet;24;POINT(48.8505005649 2.38908562879)
25;653044270;Claude Bernard - Arbalète;17;POINT(48.8397667698 2.34751090407)
26;1063035479;Parvis Robert Schuman - Roger Salengro;24;POINT(48.8126574706 2.19217512757)
27;214298601;Boyer-Barret - Raymond Losserand;23;POINT(48.8332988023 2.31733839959)
28;213686196;Lauriston - Copernic;19;POINT(48.86926 2.289918)
29;419991048;Pont de Levallois-bécon;50;POINT(48.8984179 2.2791311)
30;54000548;Quai Voltaire;32;POINT(48.8589429862 2.33141820471)
31;977206088;Hôtel de Ville;30;POINT(48.946504 2.2496396)
32;653055049;Place du Cornillon - Stade de France;34;POINT(48.9254069584 2.36444268376)
33;82508970;Verdun - Adrien Damalix;26;POINT(48.8222334179 2.42153283209)
34;63297;Eglise d'Auteuil;21;POINT(48.8474984177 2.26848387135)
35;1063404053;République - Danton;20;POINT(48.8524917218 2.46203452349)
36;989753852;Square des Epinettes;20;POINT(48.8938390978 2.32595399022)
37;129136818;Square du Carrefour de l'Insurrection;23;POINT(48.8208645598 2.29111343622)
38;27369223;Maine - Antoine Bourdelle;17;POINT(48.8430853175 2.32026394678)
39;1002059045;Pont Neuf - Rivoli;27;POINT(48.8600898926 2.34405755997)
40;259977414;Palais des Sports;22;POINT(48.8334685174 2.28587206453)
41;213848056;Parvis Corentin Celton;55;POINT(48.8274725252 2.278431952)
42;1021553839;Faubourg Poissonniere - Delta;36;POINT(48.8825558076 2.34974820167)
43;1025995767;Hôtel de Ville;21;POINT(48.8138106284 2.50967592001)
44;54000466;Uzès - Montmartre;29;POINT(48.8707909802 2.34310101718)
45;1035816937;Poissonniers - Nord;28;POINT(48.8925112135 2.35222287476)
46;49772483;Damrémont - Caulaincourt;18;POINT(48.8871450908 2.33258809894)
47;35089539;Manin - Crimée;23;POINT(48.8831217744 2.38636706024)
48;76488849;Fernand Braudel - Vincent Auriol;36;POINT(48.8363785232 2.3723404482)
49;486833337;Bachaumont - Montmartre;33;POINT(48.8661739508 2.34497755766)
50;82573931;René Binet - Porte de Montmartre;37;POINT(48.8990510995 2.3365534097)
51;390075668;Stade Georges Carpentier;40;POINT(48.8204824384 2.36683219671)
52;35147530;Pierre Levée - Fontaine Timbaud;23;POINT(48.8663272337 2.37111635506)
53;653122771;Marc Sangnier - Division Leclerc;24;POINT(48.7859965231 2.3299555108)
54;36473;Cadet - La Fayette;19;POINT(48.8756016327 2.34357040375)
55;653126035;Vanne - Saussaies;20;POINT(48.786404 2.338848)
56;54000615;Buzenval - Avron;50;POINT(48.851617205 2.40151359731)
57;559980654;George V - Christophe Colomb;24;POINT(48.8704294 2.3011638)
58;109609241;Colmar - Victor Hugo;32;POINT(48.886522511 2.1739609167)
59;213999554;Jean Jaurès - Ouvrières Pivéreuses;20;POINT(48.9104234375 2.39957660437)
60;439750210;Italie - Jardin Joan Miro;26;POINT(48.8199091405 2.3592948541)
61;39151458;Goutte d'or - Barbès;20;POINT(48.8851243236 2.34969623387)
62;1057335613;Quai du Président Roosevelt - Pont Aval;30;POINT(48.8343883676 2.26568207145)
63;653141822;Île de la Jatte;23;POINT(48.8940361613 2.26663392037)
64;100923502;Crozatier - Faubourg Saint-Antoine;29;POINT(48.8504400134 2.37890136621)
65;1765749389;Karl Marx;16;POINT(48.7845436131 2.36472968012)
66;100933541;Vivaldi - Antoine-Julien Hénard;27;POINT(48.8419236633 2.38972897947)
67;1015246367;Champs-Elysees - Bassano;25;POINT(48.8718118078 2.30023898184)
68;37504995;Jean Monnet - Iles;32;POINT(48.8233939841 2.24970731949)
69;82468690;Dutot - Place Alleray;56;POINT(48.8368260918 2.30717010956)
70;54000564;Paradis - Hauteville;31;POINT(48.8749999547 2.35227574019)
71;54000555;Jean Mermoz - Champs-Elysées;33;POINT(48.8696898569 2.31073245406)
72;201923447;Murat - Porte de Saint-Cloud;38;POINT(48.8375086262 2.25776519626)
73;35600927;Mairie du 16ème;35;POINT(48.8639368485 2.27659530938)
74;52518;Louis Lumière;22;POINT(48.8621619807 2.41112578186)
75;15463487;Pergolèse - Marbeau;27;POINT(48.8735687069 2.28151252253)
76;35317080;Emile Reynaud - Porte de la Villette;22;POINT(48.9009895363 2.38870225847)
77;653187900;Adolphe Lalyre - Armand Silvestre;40;POINT(48.904197 2.273395)
78;1064000778;Gare d'Austerlitz - Pont Charles de Gaulle;55;POINT(48.8423198301 2.36703000963)
79;1074060095;Lally-Tollendal - Armand Carrel;28;POINT(48.8827006622 2.37471755594)
80;471094898;Olivier de Serres - Leriche;25;POINT(48.8346022172 2.2957482934)
81;653180903;Paix - Verdun;35;POINT(48.900504 2.261173)
82;101759167;Lecourbe - Convention;46;POINT(48.8392331924 2.29151979089)
83;27363389;Bercy - Traversiére;30;POINT(48.8461926426 2.37038008869)
84;66491382;Guy Môquet - Compoint;36;POINT(48.8921355904 2.32321947813)
85;7234;Colonel Pierre Avia;29;POINT(48.8296843301 2.27534258685)
86;54000631;Victor Hugo - Bineau;25;POINT(48.8875822589 2.27838903666)
87;27415333;Crimée - Ourcq;56;POINT(48.8941041403 2.37294608847)
88;125881065;Metz - Marne;33;POINT(48.891163 2.3865705)
89;99950133;André Mazet - Saint-André des Arts;55;POINT(48.8537558106 2.33909580857)
90;599135701;Ramponeau - Belleville;44;POINT(48.8710311376 2.37905685211)
91;54000612;Cambrai - Benjamin Constant;43;POINT(48.8959473685 2.38113380225)
92;2254322638;Verdun - Pierre et Marie Curie;0;POINT(48.812909 2.370697)
93;128887067;Ségur - d'Estrées;19;POINT(48.851419979 2.30970449746)
94;72765603;Boulangers - Cardinal Lemoine;20;POINT(48.8462904 2.3521495)
95;37815993;Mutualité;37;POINT(48.8482255727 2.35028732568)
96;27414601;Saint-François-Xavier;42;POINT(48.8515448477 2.31461495161)
97;596872103;Lucie Aubrac - Fort;30;POINT(48.818144834 2.27118462324)
98;213679512;Sibelle - Alésia;25;POINT(48.8267017585 2.33849834651)
99;85147829;Hôtel de Ville;26;POINT(48.8349588517 2.24168032408)
100;631773910;Carnot - Pâquerettes;26;POINT(48.7959293943 2.42618411779)
