Identifiant de la station;Nom de la station;Capacité de la station;Lattitude;Longitude;Coordonnées géographiques
85043758;Guersant - Gouvion-Saint-Cyr;39;812.007.271;285.240.727;"48.8828777518,2.28766737081"
94555589;Pierre et Marie Curie - Maurice Thorez;27;2.002.105.825;148.270.663;"48.8158022636,2.37680498511"
507934805;Ney - Porte de Clignancourt;25;488.978.867;23.458.001;"48.8978867,2.3458001"
128989986;Place Georges Guillaumin;29;-1.939.567.274;-322.848.220;"48.874750204,2.30177143533"
102311820;Clignancourt - Ordener;35;-1.840.151.506;-1.963.247.673;"48.8914577262,2.34863647806"
369644630;Gare de l'Est - Faubourg-Saint-Martin;32;-1.143.917.882;517.135.818;"48.8756426475,2.35945880413"
43255030;Pereire - Ternes;48;524.272.015;1.449.090.783;"48.8797395483,2.28801213205"
128936618;Matignon - Faubourg Saint-Honoré;36;-937.721.162;-128.259.912;"48.8714785912,2.31397792697"
521393180;Porte Pouchet-Bessières;23;488.978.765;23.230.632;"48.8978765,2.3230632"
82562556;Exelmans - Versailles;24;-1.878.965.755;1.889.700.751;"48.8409749109,2.26439025253"
583539396;Anatole France - President Roosevelt;29;489.155.156;23.814.103;"48.9155156,2.3814103"
102323152;Manin - Carrières d'Amérique;20;-137.588.297;-772.607.068;"48.8846721421,2.3919698596"
1810975577;Guy Môquet - Parvis Georges Marchais;0;487.951.646;23.594.998;"48.7951646,2.3594998"
544249939;Raspail - Chomel;49;-465.687.818;-170.899.875;"48.8522331643,2.32665807009"
588452142;Hoche - Jean Lolive;24;-1.357.691.371;-1.688.604.534;"48.891102392,2.40284353495"
129093478;Place de la Porte de Champerret;28;-99.449.950;474.415.462;"48.8856174163,2.29078141128"
213687140;Molitor - Chardon-Lagache;34;603.330.498;-713.588.936;"48.8452088018,2.2656840831"
214019379;Quai de l'Aisne - Général Leclerc;27;48.895.713;2.400.571;"48.895713,2.400571"
82457375;Volontaire - Lecourbe;30;-1.427.923.106;1.745.371.425;"48.843513788,2.30655223131"
27414841;Square d'Anvers;32;75.798.816;-233.679.249;"48.8826334843,2.34488440621"
213699913;Place de l'Édit de Nantes;30;4.888.879;23.785;"48.88879,2.3785"
933214552;Guynemer - Séverine;26;1.690.627.868;-555.098.644;"48.8309174337,2.27907065302"
27071684;Porte de Vincennes;33;48.846.454;2.415.514;"48.846454,2.415514"
501318622;Montreuil - Gonnet;24;1.498.661.963;1.480.451.853;"48.8505005649,2.38908562879"
653044270;Claude Bernard - Arbalète;17;1.860.972.058;2.039.164.403;"48.8397667698,2.34751090407"
1063035479;Parvis Robert Schuman - Roger Salengro;24;1.964.200.482;1.973.673.327;"48.8126574706,2.19217512757"
214298601;Boyer-Barret - Raymond Losserand;23;-690.678.422;-380.527.687;"48.8332988023,2.31733839959"
213686196;Lauriston - Copernic;19;4.886.926;2.289.918;"48.86926,2.289918"
419991048;Pont de Levallois-bécon;50;488.984.179;22.791.311;"48.8984179,2.2791311"
54000548;Quai Voltaire;32;-367.769.555;-1.712.703.924;"48.8589429862,2.33141820471"
977206088;Hôtel de Ville;30;48.946.504;22.496.396;"48.946504,2.2496396"
